IPK,Pelatihan Pengembangan Diri,Prestasi,Forum Komunikasi Kuliah,Kegiatan Organisasi,Lulus Cepat
3.26,6,1,2,4,0
3.12,6,0,1,1,0
3.29,6,4,3,3,0
3.1,2,0,6,2,1
3.12,3,0,4,2,0
3,2,2,1,4,1
3.44,3,0,1,1,1
3.17,5,0,2,2,1
3.45,1,0,5,4,1
2.98,2,1,6,1,0
3.02,0,2,5,2,1
3.31,0,2,1,4,1
2.8,0,2,6,1,1
3.88,2,1,2,2,1
3.23,3,1,2,3,1
3.58,5,1,2,1,1
2.7,1,4,3,2,0
2.9,2,0,5,3,0
3,4,3,1,2,1
3.16,6,1,2,1,1
3.57,0,2,1,1,1
2.56,2,0,1,4,0
3.45,3,0,6,1,1
2.98,3,2,3,2,0
3.02,4,0,6,4,1
3.31,1,1,1,1,1
3.18,5,1,2,2,1
3.51,0,3,1,2,1
3,1,0,1,4,1
3.44,1,0,2,1,1
3,1,2,2,2,1
3.45,0,4,1,4,1
2.98,3,1,4,4,0
3.02,2,1,3,1,1
3.31,5,2,3,2,1
3.58,1,3,1,2,1
2.7,2,0,5,4,0
2.9,3,0,1,1,0
3,3,0,2,2,0
2.98,0,0,4,4,0
3.02,3,0,2,1,0
3.31,3,2,6,2,0
3.18,6,2,3,3,1
3.51,2,3,6,2,1
3,4,1,1,1,1
3.44,1,4,2,4,1
3,2,1,1,1,1
3.79,1,1,1,2,1
3.16,6,1,2,2,1
3,1,1,1,1,0
